Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    277.14     0.00     6001     0.00     0.00  set_dealias_rx_
  0.00    277.14     0.00     6000     0.00     0.00  compute_primitive_vars_
  0.00    277.14     0.00     6000     0.00     0.00  face_state_commo_
  0.00    277.14     0.00     6000     0.00     0.00  gs_op_fields_
  0.00    277.14     0.00     6000     0.00     0.00  set_convect_cons_
  0.00    277.14     0.00     6000     0.00     0.00  set_dealias_face_
  0.00    277.14     0.00     5904     0.00     0.00  ddot_
  0.00    277.14     0.00     5328     0.00     0.00  dgemv_
  0.00    277.14     0.00     5328     0.00     0.00  dsyr2_
  0.00    277.14     0.00     5280     0.00     0.00  jl_tensor_mtxm
  0.00    277.14     0.00     5264     0.00     0.00  fd_weights_full_
  0.00    277.14     0.00     4096     0.00     0.00  vlsc2_
  0.00    277.14     0.00     4032     0.00     0.00  ilaenv_
  0.00    277.14     0.00     4031     0.00     0.00  jl_sarray_transfer_
  0.00    277.14     0.00     4000     0.00     0.00  prepost_map_
  0.00    277.14     0.00     3840     0.00     0.00  irank_
  0.00    277.14     0.00     3840     0.00     0.00  isort_
  0.00    277.14     0.00     3840     0.00     0.00  vlmax_
  0.00    277.14     0.00     3284     0.00     0.00  apply_m_Asl
  0.00    277.14     0.00     3264     0.00     0.00  dlarf_
  0.00    277.14     0.00     3264     0.00     0.00  dlarfg_
  0.00    277.14     0.00     3264     0.00     0.00  dtrsv_
  0.00    277.14     0.00     3264     0.00     0.00  vlmin_
  0.00    277.14     0.00     3072     0.00     0.00  addcol3_
  0.00    277.14     0.00     3042     0.00     0.00  lin_solve_sym_2
  0.00    277.14     0.00     2688     0.00     0.00  dnrm2_
  0.00    277.14     0.00     2304     0.00     0.00  jl_lob_bnd_2
  0.00    277.14     0.00     2304     0.00     0.00  jl_lob_bnd_lin_2
  0.00    277.14     0.00     2250     0.00     0.00  nekgsync_
  0.00    277.14     0.00     2130     0.00     0.00  igop_
  0.00    277.14     0.00     2074     0.00     0.00  iglmax_
  0.00    277.14     0.00     2064     0.00     0.00  dger_
  0.00    277.14     0.00     2064     0.00     0.00  dsymv_
  0.00    277.14     0.00     2027     0.00     0.00  glmax_
  0.00    277.14     0.00     2001     0.00     0.00  crystal_tuple_transfer_
  0.00    277.14     0.00     2001     0.00     0.01  findpts_
  0.00    277.14     0.00     2001     0.00     0.00  jl_sarray_transfer_ext_
  0.00    277.14     0.00     2001     0.00     0.03  stokes_particles_
  0.00    277.14     0.00     2001     0.00     0.03  userchk_
  0.00    277.14     0.00     2000     0.00     0.00  get_bdf_ext_coefs_
  0.00    277.14     0.00     2000     0.00     0.00  in_situ_check_
  0.00    277.14     0.00     2000     0.00     0.10  nek__multi_advance_
  0.00    277.14     0.00     2000     0.00     0.00  nek_advance_
  0.00    277.14     0.00     2000     0.00     0.00  outhis_
  0.00    277.14     0.00     2000     0.00     0.00  prepost_
  0.00    277.14     0.00     2000     0.00     0.00  setabbd_
  0.00    277.14     0.00     2000     0.00     0.00  setbd_
  0.00    277.14     0.00     2000     0.00     0.00  setdt_
  0.00    277.14     0.00     2000     0.00     0.00  setordbd_
  0.00    277.14     0.00     2000     0.00     0.00  setsolv_
  0.00    277.14     0.00     2000     0.00     0.00  settime_
  0.00    277.14     0.00     1999     0.00     0.00  bdsys_
  0.00    277.14     0.00     1999     0.00     0.00  solve_
  0.00    277.14     0.00     1745     0.00     0.00  col3_
  0.00    277.14     0.00     1536     0.00     0.00  hash_range_3
  0.00    277.14     0.00     1438     0.00     0.00  newton_face
  0.00    277.14     0.00     1253     0.00     0.00  jacobf_
  0.00    277.14     0.00     1234     0.00     0.00  cmult_
  0.00    277.14     0.00     1216     0.00     0.00  add3_
  0.00    277.14     0.00     1164     0.00     0.00  dsset_
  0.00    277.14     0.00     1161     0.00     0.00  vcross_
  0.00    277.14     0.00     1152     0.00     0.00  facexv_
  0.00    277.14     0.00     1104     0.00     0.00  dswap_
  0.00    277.14     0.00     1024     0.00     0.00  ifvchk_
  0.00    277.14     0.00      780     0.00     0.00  scatter_noop
  0.00    277.14     0.00      768     0.00     0.00  chknord_
  0.00    277.14     0.00      720     0.00     0.00  pnleg_
  0.00    277.14     0.00      704     0.00     0.00  get_fast_bc_
  0.00    277.14     0.00      654     0.00     0.00  transpose_
  0.00    277.14     0.00      603     0.00     0.00  gammaf_
  0.00    277.14     0.00      576     0.00     0.00  dlaev2_
  0.00    277.14     0.00      576     0.00     0.00  dlanst_
  0.00    277.14     0.00      576     0.00     0.00  dlansy_
  0.00    277.14     0.00      576     0.00     0.00  dorg2l_
  0.00    277.14     0.00      576     0.00     0.00  dorgql_
  0.00    277.14     0.00      576     0.00     0.00  dorgtr_
  0.00    277.14     0.00      576     0.00     0.00  dpotf2_
  0.00    277.14     0.00      576     0.00     0.00  dpotrf_
  0.00    277.14     0.00      576     0.00     0.00  dsteqr_
  0.00    277.14     0.00      576     0.00     0.00  dsyev_
  0.00    277.14     0.00      576     0.00     0.00  dsygs2_
  0.00    277.14     0.00      576     0.00     0.00  dsygst_
  0.00    277.14     0.00      576     0.00     0.00  dsygv_
  0.00    277.14     0.00      576     0.00     0.00  dsytd2_
  0.00    277.14     0.00      576     0.00     0.00  dsytrd_
  0.00    277.14     0.00      576     0.00     0.00  dtrsm_
  0.00    277.14     0.00      576     0.00     0.00  generalev_
  0.00    277.14     0.00      576     0.00     0.00  hsmg_setup_fast1d_
  0.00    277.14     0.00      576     0.00     0.00  hsmg_setup_fast1d_a_
  0.00    277.14     0.00      576     0.00     0.00  jl_sparse_cholesky_solve
  0.00    277.14     0.00      576     0.00     0.00  tensor_ig3
  0.00    277.14     0.00      512     0.00     0.00  volum0_
  0.00    277.14     0.00      511     0.00     0.00  get_face
  0.00    277.14     0.00      462     0.00     0.00  jl_gs_scatter
  0.00    277.14     0.00      458     0.00     0.00  jl_gs_gather
  0.00    277.14     0.00      432     0.00     0.00  hgll_
  0.00    277.14     0.00      400     0.00     0.00  apply_p_Als
  0.00    277.14     0.00      400     0.00     0.00  sum
  0.00    277.14     0.00      384     0.00     0.00  bbox_3_tfm
  0.00    277.14     0.00      384     0.00     0.00  chkcbc_
  0.00    277.14     0.00      384     0.00     0.00  copy_strided
  0.00    277.14     0.00      384     0.00     0.00  facind_
  0.00    277.14     0.00      360     0.00     0.00  pndleg_
  0.00    277.14     0.00      315     0.00     0.00  jl_comm_allreduce
  0.00    277.14     0.00      312     0.00     0.00  gather_noop
  0.00    277.14     0.00      307     0.00     0.00  edge_index
  0.00    277.14     0.00      283     0.00     0.00  findpt_face
  0.00    277.14     0.00      268     0.00     0.00  indx1_
  0.00    277.14     0.00      256     0.00     0.00  mg_scale_mass_
  0.00    277.14     0.00      238     0.00     0.00  crecv_
  0.00    277.14     0.00      238     0.00     0.00  csend_
  0.00    277.14     0.00      226     0.00     0.00  byte_write_
  0.00    277.14     0.00      209     0.00     0.00  merge_copy_perm_ui
  0.00    277.14     0.00      192     0.00     0.00  chkjac_
  0.00    277.14     0.00      192     0.00     0.00  h1mg_setup_schwarz_wt3d_2_
  0.00    277.14     0.00      192     0.00     0.00  h1mg_setup_schwarz_wt_2_
  0.00    277.14     0.00      192     0.00     0.00  tensr3_
  0.00    277.14     0.00      192     0.00     0.00  vlsum_
  0.00    277.14     0.00      160     0.00     0.00  cr_exec
  0.00    277.14     0.00      159     0.00     0.00  blank_
  0.00    277.14     0.00      158     0.00     0.00  newton_edge
