Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     90.82     0.00     4832     0.00     0.00  reject_prior_step_q
  0.00     90.82     0.00     4400     0.00     0.00  fd_weights_full_
  0.00     90.82     0.00     4397     0.00     0.00  newton_vol
  0.00     90.82     0.00     4031     0.00     0.04  jl_sarray_transfer_
  0.00     90.82     0.00     4000     0.00     0.62  prepost_map_
  0.00     90.82     0.00     3456     0.00     0.00  lob_bnd_fst
  0.00     90.82     0.00     3456     0.00     0.00  ran1_
  0.00     90.82     0.00     2964     0.00     0.00  dscal_
  0.00     90.82     0.00     2811     0.00     0.00  apply_m_Asl
  0.00     90.82     0.00     2250     0.00     0.00  nekgsync_
  0.00     90.82     0.00     2200     0.00     0.00  dlapy2_
  0.00     90.82     0.00     2148     0.00     0.00  daxpy_
  0.00     90.82     0.00     2130     0.00     0.00  igop_
  0.00     90.82     0.00     2074     0.00     0.00  iglmax_
  0.00     90.82     0.00     2027     0.00     0.00  glmax_
  0.00     90.82     0.00     2021     0.00     0.00  glsum_
  0.00     90.82     0.00     2002     0.00     0.00  comment_
  0.00     90.82     0.00     2001     0.00     0.01  crystal_tuple_sort_
  0.00     90.82     0.00     2001     0.00     0.04  crystal_tuple_transfer_
  0.00     90.82     0.00     2001     0.00     0.31  findpts_
  0.00     90.82     0.00     2001     0.00     0.04  jl_sarray_transfer_ext_
  0.00     90.82     0.00     2001     0.00     8.01  stokes_particles_
  0.00     90.82     0.00     2001     0.00     8.02  userchk_
  0.00     90.82     0.00     2000     0.00     0.00  in_situ_check_
  0.00     90.82     0.00     2000     0.00    35.66  nek__multi_advance_
  0.00     90.82     0.00     2000     0.00     5.36  nek_advance_
  0.00     90.82     0.00     2000     0.00     0.00  outhis_
  0.00     90.82     0.00     2000     0.00     2.50  setbd_
  0.00     90.82     0.00     2000     0.00     0.00  setordbd_
  0.00     90.82     0.00     2000     0.00     0.00  setsolv_
  0.00     90.82     0.00     2000     0.00     5.36  settime_
  0.00     90.82     0.00     1999     0.00     1.24  bdsys_
  0.00     90.82     0.00     1828     0.00     0.00  dlasr_
  0.00     90.82     0.00     1612     0.00     0.00  dlamch_
  0.00     90.82     0.00     1476     0.00     0.00  ddot_
  0.00     90.82     0.00     1362     0.00     0.00  jl_tensor_mtxm
